favorite_count,retweet_count,tweet_id
19641,4397,-2095603712
18549,3898,35082240
16013,2816,815226881
11656,1833,-2045280254
27308,6152,-1663602683
44950,17558,-1143603195
29459,8049,-1873301504
22517,5963,-1110048768
28946,6770,-644493312
18674,4618,1209278465
31654,7391,710262784
16035,3110,-581566464
28348,5660,-1227505664
34469,9952,408395776
15365,3511,1591181312
8992,1807,-1378508800
14822,2131,-1655205887
16219,3452,-1277767671
32944,9843,-1630052350
19893,6792,-745037824
11402,1572,-728256511
0,19,-1881747455
16189,3452,1851129856
24165,7013,844582913
20616,5693,1511497728
30803,9095,987156481
13060,2608,-1705586687
16320,3786,1784074240
20410,4862,1557630976
30479,7598,894828544
15882,3156,311738368
11410,1901,773287936
42420,8467,383213568
25225,4326,2073538560
24784,4600,492175360
16354,3052,-1906978816
0,432,1360396288
23570,5095,1934893056
5464,1335,-623550460
18827,3424,810823681
20572,4309,806666241
19986,5878,597086208
21541,3191,-791224320
20197,3939,-2112389120
44893,11617,-1936289791
31834,9090,-1441468415
16083,2881,-1525329919
29436,8750,-1982410751
25335,4818,2014744576
7673,1812,852922370
23503,5425,-1864921088
13728,2575,240496640
15214,3221,81125376
16597,3154,-1386819584
13753,2221,2056577024
21639,4663,756514816
17043,2765,1339346946
21719,6077,-1877557248
15397,3669,1255657473
6812,1295,-984100864
18270,3545,89579522
24706,5851,51818497
14136,3063,643211264
0,15328,-1722318847
25973,7885,-1076453375
12791,3732,1490485248
16012,4723,-640241664
23137,5382,-1764274176
12420,983,-371929088
9104,1787,332783617
16663,4603,-1391149056
19518,5815,509001728
13596,2315,2144665601
27857,7881,852910082
0,145,-707325951
27545,6623,1264005122
11308,2093,-19619840
0,35,1318346752
11076,1351,-1055440895
22876,4857,118915072
17888,3194,-1479192576
34669,7995,919928832
3892,448,-963215360
12996,2315,1121341441
16310,2410,1494695937
12952,2323,-53055488
19614,4719,1544974338
12800,2260,-564789248
14988,3031,-1466531836
21661,4380,1645527040
19408,4335,-921382910
18093,3677,672559104
16753,3073,-447434752
7866,1730,-745074688
26630,5875,-103337982
22837,3077,1708593157
11020,1682,-1617489919
21675,5591,1599496192
13911,2588,211222528
9801,1715,-816361468
21005,4857,110501888
16085,3730,-1902772224
13312,2248,-925483007
13638,2452,-1974059007
18352,3843,-1978310656
21157,3292,1746333696
15126,2091,-241811452
20548,4944,1368748032
13526,2254,-1412145151
0,39,882192384
17160,3696,898928643
16159,2851,-1173082112
12163,2265,538374144
17514,3268,1624637440
11546,2391,714489857
0,9573,-1995038720
0,9853,-1638498304
18227,4769,-2062127102
24456,6279,1167474688
28196,6665,1591037952
10660,1860,-1793658880
7311,1986,328597506
9171,2360,-1927921664
9433,1589,236195840
6675,1152,-275369984
11989,2511,-1370140671
12156,2092,1368731649
8134,1528,43401216
68299,17212,-1445580800
10043,3035,-1936240640
0,5163,-1336524800
12480,2006,-2116657152
32445,10896,1599533056
10682,2082,-15310839
24977,7558,-732549119
54253,16726,819331072
26165,6023,1939275776
37392,11492,672489473
9733,1387,278269953
6470,1190,-2011758589
7847,1324,961945601
12885,2273,1029050368
7547,1101,206974976
12835,3020,-1122615296
12036,2946,-90927104
10588,2207,-1223270400
20565,5393,-573218816
15843,3093,-1751773183
7597,967,-2032779264
16243,3142,-1965621248
10821,2298,-107581439
22090,5163,-1336524800
37284,10463,-1625935872
10291,2418,1092046848
18865,4320,1230381057
13595,2678,-958988283
4992,954,-1470758912
16030,3227,-2099875835
10705,1934,1947598850
13036,2563,-2087235580
53548,17793,727121920
18766,4678,-1747517440
6479,1302,-510251008
0,5651,-1743290367
15316,3628,-1122607104
10344,1793,1104629760
12109,10806,-1441382400
15463,3984,-1978183675
10910,2793,1058439169
14323,2595,2031554560
13370,2710,1855275008
16145,4162,-1562947583
0,10215,1817579521
17770,3557,-1680465920
135536,44733,1926725632
13632,2367,832012290
0,6615,-342487040
